Unnamed: 0,Company,Codice ISO paese,Ultimo anno disp.,"Totale valore della produzione
migl USD"
1178.0,NITROGENMUVEK VEGYIPARI ZARTKORUEN MUKODO RESZVENYTARSASAG,HU,2022.0,606119.561266387
1869.0,ZOLTEK VEGYIPARI ZARTKORUEN MUKODO RESZVENYTARSASAG,HU,2022.0,372879.491195861
293.0,PT AKR CORPORINDO TBK,ID,2023.0,2733258.62666135
317.0,PT UNILEVER INDONESIA TBK,ID,2023.0,2504636.57357046
339.0,PT CHANDRA ASRI PACIFIC TBK,ID,2023.0,2265402.0
1205.0,PT KIRANA MEGATARA TBK,ID,2023.0,593045.791436902
1546.0,PT AVIA AVIAN TBK,ID,2023.0,456272.979913629
181.0,"ASTELLAS IRELAND CO., LIMITED",IE,2022.0,4477126.37089026
224.0,TRINSEO PLC,IE,2023.0,3675500.0
493.0,CNOOC PETROLEUM EUROPE LIMITED,IE,2022.0,1524995.90207826
829.0,LIMERICK ALUMINA REFINING LIMITED,IE,2022.0,851246.927164737
1264.0,NORTON (WATERFORD) LIMITED,IE,2022.0,562174.794804278
99.0,ICL GROUP LIMITED,IL,2023.0,7557000.0
100.0,ISRAEL CORPORATION LIMITED,IL,2023.0,7557000.0
189.0,ADAMA AGRICULTURAL SOLUTIONS LIMITED,IL,2023.0,4230474.0
1217.0,SANO BRUNO'S ENTERPRISES LIMITED,IL,2023.0,587382.41770494
1278.0,TOSAF COMPOUNDS LTD.,IL,2023.0,556934.112906456
104.0,HINDUSTAN UNILEVER LIMITED,IN,2023.0,7423906.29060566
151.0,UPL LIMITED,IN,2023.0,5227175.58567412
188.0,ASIAN PAINTS LIMITED,IN,2023.0,4257954.96986797
299.0,COROMANDEL INTERNATIONAL LIMITED,IN,2023.0,2673468.64484018
351.0,CHAMBAL FERTILISERS AND CHEMICALS LIMITED,IN,2023.0,2184797.71351283
5445.0,STATE COMPANY OF FERTILIZERS SOUTHERN REGION,IQ,2021.0,100000.0
6736.0,NATIONAL CHEMICAL & PLASTIC INDUSTRIES COMPANY (MIXED SECTOR ),IQ,2022.0,1594.85108238435
66.0,JAM PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,IR,2022.0,10996136.83461
63.0,BOUALI SINA PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,IR,2022.0,11577590.2331444
59.0,PARS PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,IR,2022.0,12347204.7725208
88.0,MARUN PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,IR,2022.0,8823620.14359242
90.0,PARDIS PETROCHEMICAL COMPANY PUBLIC JOINT STOCK,IR,2023.0,8407954.95756809
182.0,MAPEI S.P.A.,IT,2022.0,4421615.91016173
230.0,VERSALIS S.P.A.,IT,2023.0,3575084.34945393
287.0,BASF ITALIA S.P.A.,IT,2022.0,2776037.42149055
441.0,SOL SPA,IT,2023.0,1690175.60853004
497.0,SASOL ITALY S.P.A.,IT,2023.0,1504755.53832917
6248.0,BERGER PAINTS JAMAICA LIMITED,JM,2023.0,21981.6996220993
6330.0,PARAMOUNT TRADING (JAMAICA) LIMITED,JM,2023.0,16482.6636325717
6579.0,BLUE POWER GROUP LIMITED,JM,2023.0,5726.52969029406
2639.0,JORDAN BROMINE (PRIVATE FREE ZONE),JO,2023.0,256338.03153038
3833.0,SPECIALIZED FOR PLASTIC INDUSTRIES,JO,2022.0,169014.086723328
4434.0,ARAB FERTILISERS AND CHEMICALS INDUSTRIES LTD,JO,2021.0,140845.07226944
5389.0,DAR AL DAWA DEVELOPMENT AND INVESTMENT PUBLIC SHAREHOLDING COMPANY,JO,2023.0,106092.959137678
6062.0,THE ARAB PESTICIDES & VETERINARY DRUGS MFG. CO.PUBLIC SHAREHOLDING COMPANY,JO,2022.0,34238.0286179781
68.0,KAO CORPORATION,JP,2023.0,10934289.0208471
70.0,MITSUBISHI CHEMICAL CORPORATION,JP,2022.0,10831667.6070588
75.0,NIPPON PAINT HOLDINGS CO LTD,JP,2023.0,10269846.7880068
83.0,RESONAC HOLDINGS CORPORATION,JP,2023.0,9082298.3762878
91.0,NIPPON SANSO HOLDINGS CORPORATION,JP,2023.0,8389712.39962429
5484.0,CROWN PAINTS KENYA PLC,KE,2022.0,95033.4861248974
6460.0,BOC KENYA LIMITED,KE,2022.0,10433.7612916715
74.0,HANWHA SOLUTIONS CORPORATION,KR,2023.0,10306145.9124062
87.0,"HANWHA TOTALENERGIES PETROCHEMICAL CO., LTD",KR,2023.0,8904653.85827155
113.0,KG CHEMICAL CORPORATION,KR,2023.0,6928072.64908329
44.0,LOTTE CHEMICAL CORPORATION.,KR,2023.0,15469517.8334585
140.0,"KG ECO SOLUTION CO., LTD.",KR,2023.0,5628330.60874809
195.0,EQUATE PETROCHEMICALS COMPANY KSCC,KW,2022.0,4042000.0
332.0,PETROCHEMICAL INDUSTRIES COMPANY K.S.C,KW,2020.0,2314814.82982635
2507.0,BOUBYAN PETROCHEMICAL COMPANY (K.S.C.P),KW,2024.0,270539.482120275
4828.0,AL KOUT INDUSTRIAL PROJECTS CO. K.S.C.P.,KW,2022.0,126263.677823067
123.0,KINGBOARD HOLDINGS LIMITED,KY,2022.0,6337878.78895871
128.0,CHINA RISUN GROUP LIMITED,KY,2022.0,6207317.94912128
159.0,KINGBOARD HOLDINGS LIMITED,KY,2023.0,5094514.68238115
198.0,FUFENG GROUP LIMITED,KY,2023.0,3962384.81030893
290.0,"DIVERSEY HOLDINGS, LTD.",KY,2022.0,2765900.0
2681.0,AO UMZ,KZ,2022.0,253429.79518838
3962.0,AKTSIONERNOE OBSCHESTVO KAZAZOT,KZ,2022.0,162612.464016695
4523.0,JSC AKTYUBINSK CHROMIC COMPOUNDS PLANT,KZ,2022.0,137369.950077225
5763.0,AO TEMK,KZ,2022.0,61905.0474045449
1177.0,ULBA-TVS,KZ,2022.0,49559.4404959993
3177.0,CIC HOLDINGS PLC,LK,2022.0,208907.205803086
4353.0,HAYCARB PLC,LK,2023.0,144312.500378001
5414.0,LANKEM CEYLON PLC,LK,2022.0,103068.828866328
6257.0,HARISCHANDRA MILLS PLC,LK,2023.0,21050.4648245825
6366.0,SWADESHI INDUSTRIAL WORKS PLC,LK,2022.0,14609.063615242
778.0,UAB THERMO FISHER SCIENTIFIC BALTICS,LT,2023.0,907418.987163491
1566.0,AB ACHEMA,LT,2023.0,449790.451860428
2730.0,UAB ORION GLOBAL PET,LT,2021.0,248427.949240208
3717.0,UAB MESTILLA,LT,2021.0,175734.548687935
330.0,L'OCCITANE INTERNATIONAL S.A.,LU,2022.0,2325889.99642575
426.0,PERIMETER SOLUTIONS SA,LU,2023.0,322108.0
4276.0,CHEMOLUX S.AR.L.,LU,2023.0,148051.780999429
5289.0,GTP LUXEMBOURG S.A R.L.,LU,2022.0,110663.031096962
2446.0,SABIEDRIBA AR IEROBEZOTU ATBILDIBU BIO-VENTA,LV,2022.0,276810.146266013
193.0,JORF FERTILIZERS COMPANY III,MA,2022.0,786940.222903018
256.0,JORF FERTILIZERS COMPANY IV,MA,2021.0,589615.243578582
1267.0,PAKISTAN MAROC PHOSPHORE,MA,2022.0,561042.943327793
1319.0,INDO MAROC PHOSPHORE (STE),MA,2022.0,539221.859199653
1776.0,EURO MAROC PHOSPHORE,MA,2022.0,393411.138130889
6519.0,POLIEX A.D.,ME,2023.0,7960.27992247581
717.0,PEXEL INTERNATIONAL LIMITED,MT,2021.0,179686.308999577
6270.0,SOAP & ALLIED INDUSTRIES LIMITED,MU,2022.0,20068.939390406
6395.0,MAURITIUS COSMETICS LIMITED,MU,2023.0,12785.0917875767
6630.0,LES GAZ INDUSTRIELS LIMITED,MU,2023.0,4205.85898870602
18.0,ALPEK S.A.B. DE C.V.,MX,2023.0,8175984.13366824
256.0,"KIMBERLY-CLARK DE MEXICO, S.A.B. DE C.V.",MX,2023.0,3150169.56342995
156.0,ELEMENTIA MATERIALES S.A.B. DE C.V.,MX,2021.0,977827.81766678
840.0,CYDSA S.A.B. DE C.V.,MX,2023.0,836780.543625355
1097.0,GONCAL,MX,2022.0,653773.682495308
125.0,PETRONAS CHEMICALS GROUP BERHAD,MY,2023.0,6270064.20491636
146.0,BATU KAWAN BHD,MY,2023.0,5378490.746602
729.0,KL-KEPONG OLEOMAS SDN. BHD.,MY,2022.0,975889.041857436
785.0,SCIENTEX BERHAD,MY,2023.0,899159.102408886
851.0,TORAY PLASTICS (MALAYSIA) SDN. BERHAD,MY,2021.0,830169.600281626
2770.0,PZ CUSSONS NIGERIA PLC,NG,2023.0,244558.602548766
4602.0,UNILEVER NIGERIA PLC,NG,2023.0,134664.209980918
6153.0,CHEMICAL AND ALLIED PRODUCTS PLC,NG,2023.0,27384.5489719464
6184.0,NOTORE CHEMICAL INDUSTRIES PLC,NG,2023.0,25734.9815976201
6550.0,INDUSTRIAL AND MEDICAL GASES NIGERIA PLC,NG,2023.0,6962.4125908222
61.0,AKZO NOBEL NV,NL,2023.0,11856655.3211212
31.0,NOURYON HOLDING B.V.,NL,2023.0,5226999.99999843
158.0,DOW BENELUX B.V.,NL,2022.0,5142249.98861015
33.0,OCI N.V.,NL,2023.0,5040000.0
162.0,IMCD N.V.,NL,2023.0,4939544.48680687
250.0,JOTUN A/S,NO,2023.0,3264011.86969131
276.0,YARA NORGE AS,NO,2022.0,2867391.96246463
132.0,BEWI ASA,NO,2022.0,1120356.10246658
207.0,BORREGAARD ASA,NO,2023.0,701278.284519911
1310.0,BORREGAARD AS,NO,2022.0,543436.119890809
5740.0,UNILEVER NEPAL LIMITED,NP,2023.0,64504.1241595321
953.0,BALLANCE AGRI-NUTRIENTS LIMITED,NZ,2023.0,750665.58920604
1211.0,RAVENSDOWN LIMITED,NZ,2023.0,588700.732692957
1732.0,METHANEX NEW ZEALAND LIMITED,NZ,2023.0,400200.986761808
4066.0,DULUXGROUP (NEW ZEALAND) PTY LTD,NZ,2022.0,157433.645977855
5233.0,BOC LIMITED,NZ,2023.0,112523.936230659
1787.0,OMAN METHANOL COMPANY,OM,2022.0,390117.037296295
1788.0,OMAN INDIA FERTILIZER COMPANY S.A.O.C.,OM,2023.0,390117.037296295
5577.0,OMAN CHLORINE SAOG,OM,2023.0,84067.620757103
5876.0,THE NATIONAL DETERGENT COMPANY SAOG,OM,2022.0,51355.0067896843
6588.0,GULF INTERNATIONAL CHEMICALS COMPANY SAOG,OM,2022.0,5573.47207283974
1620.0,QUIMPAC S.A.,PE,2023.0,434082.0
5513.0,BAYER S.A.,PE,2023.0,91661.6361582279
6551.0,FILAMENTOS INDUSTRIALES S.A.,PE,2023.0,6953.89610290527
749.0,"PROCTER & GAMBLE PHILIPPINES, INC.",PH,2022.0,946501.408860227
165.0,"PROCTER & GAMBLE PHILIPPINES, INC.",PH,2022.0,946501.408860227
819.0,UNILAB INC,PH,2022.0,867656.699910902
175.0,UNILAB INC,PH,2022.0,867656.699910902
1042.0,JG SUMMIT PETROCHEMICAL CORPORATION,PH,2021.0,687163.390895776
433.0,ENGRO CORPORATION LIMITED,PK,2023.0,1749913.33299529
815.0,FATIMA FERTILIZER COMPANY LIMITED,PK,2023.0,872041.530309533
900.0,ENGRO FERTILIZERS LIMITED,PK,2023.0,793804.625107547
1100.0,FAUJI FERTILIZER COMPANY LIMITED,PK,2023.0,653128.819815789
1109.0,UNILEVER PAKISTAN LTD,PK,2019.0,647243.066543431
482.0,SYNTHOS DWORY 7 SP. Z O.O.,PL,2022.0,1575654.08819157
570.0,ANWIL S.A.,PL,2022.0,1308330.25974369
585.0,BASELL ORLEN POLYOLEFINS SP. Z O.O.,PL,2022.0,1254457.52457735
674.0,GRUPA AZOTY ZAKLADY AZOTOWE KEDZIERZYN S.A.,PL,2022.0,1070905.33700225
806.0,RECKITT BENCKISER PRODUCTION (POLAND) SP. Z O.O.,PL,2022.0,880429.845159173
6556.0,ARAB CO. FOR PAINTS PRODUCTS LTD,PS,2023.0,6664.78881978989
