"Unnamed: 0,Company,Inactive,Quoted,Branch,OwnData,Woco,Codice ISO paese,""Codice NACE Rev. 2, core code (4 cifre)"",Codice di consolidamento,Ultimo anno disp.,""Totale valore della produzione"
"migl USD"",""Numero dipendenti"
"Ultimo anno disp."""
1315.0,PAPOUTSANIS S.A.,No,Sì,No,No,No,GR,2042,C1,2023,69643.7612552643,202
999.0,SAPONIA D.D.,No,Sì,No,No,No,HR,2041,C2,2023,137750.466820717,1080
148.0,PT AKR CORPORINDO TBK,No,Sì,No,No,No,ID,2013,C1,2023,2733258.62666135,1994
154.0,PT UNILEVER INDONESIA TBK,No,Sì,No,No,Sì,ID,2042,C1,2023,2504636.57357046,4589
162.0,PT CHANDRA ASRI PACIFIC TBK,No,Sì,No,No,Sì,ID,2014,C1,2023,2265402.0,2296
418.0,PT KIRANA MEGATARA TBK,No,Sì,No,No,No,ID,2017,C1,2023,593045.791436902,4207
494.0,PT AVIA AVIAN TBK,No,Sì,No,No,No,ID,2030,C1,2023,456272.979913629,1422
119.0,TRINSEO PLC,No,Sì,No,No,No,IE,2016,C1,2023,3675500.0,3100
8.0,LINDE PUBLIC LIMITED COMPANY,No,Sì,No,No,No,IE,2011,C1,2023,32866000.0,66323
55.0,ICL GROUP LIMITED,No,Sì,No,No,No,IL,2015,C1,2023,7557000.0,13350
56.0,ISRAEL CORPORATION LIMITED,No,Sì,No,No,Sì,IL,2059,C1,2023,7557000.0,13363
421.0,SANO BRUNO'S ENTERPRISES LIMITED,No,Sì,No,No,No,IL,2059,C1,2023,587382.41770494,1301
468.0,ODDITY TECH LTD.,No,Sì,No,No,No,IL,2042,C1,2023,508685.0,342
645.0,KAFRIT INDUSTRIES (1993) LTD,No,Sì,No,No,No,IL,2016,C2,2023,309632.758559525,553
59.0,HINDUSTAN UNILEVER LIMITED,No,Sì,No,No,Sì,IN,2041,C1,2023,7423906.29060566,19427
103.0,ASIAN PAINTS LIMITED,No,Sì,No,No,No,IN,2030,C1,2023,4257954.96986797,9482
