;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
4304.;THE HALLSTAR COMPANY COMPANY;US;2022;147.000
4305.;AGRIFOS FERTILIZER GP LLC;US;2011;146.897
4306.;GUNUO TIANJIN INDUSTRIAL CO., LTD.;CN;2022;146.806
4307.;GS BIO CO.,LTD;KR;2023;146.785
4308.;DEYANG HAOHUA QINGPING LINKUANG CO., LTD.;CN;2022;146.751
4309.;SHANDONG CHUNCHAO COLORMASTER BATCH CO.,LTD;CN;2013;146.741
4310.;MEDICAL AND COSMETIC PRODUCTS COMPANY LIMITED;SA;2020;146.667
4311.;CHIMPEX INDUSTRIALE SOCIETA' PER AZIONI;IT;2023;146.544
4312.;JOHNSON MATTHEY CHEMICALS GMBH;DE;2022;146.230
4313.;SHANDONG LAIZHOU WELFARE SODIUM SILICATE CO., LTD.;CN;2022;146.181
4314.;ARKEMA PTY LTD;AU;2022;146.149
4315.;MENGJIN CHEMICAL FERTILIZER FACTORY;CN;2014;146.140
4316.;DAIHACHI CHEMICAL INDUSTRY CO.,LTD.;JP;2022;146.125
4317.;KYODO SAKUSAN CO., LTD.;JP;2022;146.089
4318.;HAMMOND GROUP, INC.;US;2022;146.000
4319.;THE GOODWIN AMMONIA COMPANY, LLC;US;2022;146.000
4320.;ITW PERFORMANCE POLYMERS;US;2022;146.000
4321.;SUMITOMO BAKELITE EUROPE;BE;2022;145.977
4322.;TAMINCO GERMANY GMBH;DE;2022;145.950
4323.;GUIZHOU XIYANG FERTILIZER INDUSTRY LIMITED COMPANY;CN;2014;145.761
4324.;DANISCO MALAYSIA SDN. BHD.;MY;2022;145.753
4325.;GUOMIN STARCH CHEMICAL ( GUANGDONG ) CO.,LTD;CN;2011;145.656
4326.;HANHOU COSMETICS CO., LTD.;CN;2017;145.477
4327.;INDIAN ADDITIVES LIMITED;IN;2022;145.473
4328.;JOTUN BOYA SANAYI VE TICARET ANONIM SIRKETI;TR;2018;145.444
4329.;CHINA SALT CHANGZHOU CHEMICAL CO., LTD.;CN;2022;145.308
4330.;VOLZHSKY ORGSYNTHESE, JSC;RU;2023;145.299
4331.;BEIJING COMENS NEW MATERIALS CO.,LTD.;CN;2023;145.298
4332.;BASF INTEROX H202 PRODUCTION;BE;2022;145.221
4333.;HEILONGJIANG SUNLONG INDUSTRIAL CO., LTD.;CN;2022;145.135
4334.;CHEMINOVA INDIA LIMITED;IN;2022;145.068
4335.;SHIJIAZHUANG BAILONG CHEMICAL CO., LTD.;CN;2021;145.000
4336.;DISTRIBUIDORA COMERCIAL JAFRA;MX;2022;144.998
4337.;CALDERYS METALCASTING GERMANY GMBH;DE;2022;144.817
4338.;WACKER METROARK CHEMICALS PRIVATE LIMITED;IN;2019;144.816
4339.;MC FERTICOM CO.,LTD.;JP;2022;144.801
4340.;HENAN YUXING MELAMINE CO., LTD.;CN;2010;144.776
4341.;TERAOKA SEISAKUSHO CO LTD;JP;2022;144.718
4342.;ACH FOODS MEXICO;MX;2021;144.704
4343.;STAHL COATINGS & FINE CHEMICALS (SUZHOU) CO., LTD.;CN;2022;144.689
4344.;LINXIANG LUXIANG ALCOHOL  JING CO.,LTD;CN;2011;144.551
4345.;KEIYO ETHYLENE CO., LTD.;JP;2022;144.546
4346.;TAISEI KAYAKU CO.,LTD.;JP;2020;144.539
4347.;SHANXI LANHUA COAL CHEMICAL CO., LTD.;CN;2022;144.534
4348.;LIAONING RUIXING CHEMICAL GROUP CO., LTD.;CN;2014;144.507
4349.;GLOBAL TUNGSTEN & POWDERS SPOL. S R.O.;CZ;2022;144.403
4350.;ZIBO QILU BOC GASES CO., LTD.;CN;2014;144.339
4351.;KRONOS TITAN AS;NO;2022;144.339
4352.;GRISI HNOS;MX;2022;144.327
4353.;HAYCARB PLC;LK;2023;144.313
4354.;SHANDONG LINK ADVANCED MATERIALS CO.,LTD.;CN;2021;144.306
4355.;COSVISION CORPORATION;KR;2023;144.267
4356.;AGROCEL INDUSTRIES PRIVATE LIMITED;IN;2022;144.236
4357.;BIRLA JINGWEI FIBRES CO., LTD.;CN;2022;144.177
4358.;CONG TY CO PHAN SUPE PHOT PHAT VA HOA CHAT LAM THAO;VN;2023;144.150
4359.;JIANGYIN JIANGHUA MICRO-ELECTRONIC MATERIALS CO., LTD;CN;2023;144.142
4360.;GUIZHOU KAIYANG CHEMICAL CO., LTD.;CN;2020;144.122
4361.;JINZHOU YOUHUA SILICON MATERIALS CO., LTD.;CN;2017;144.080
4362.;AMERICAN CHEMET CORP;US;2022;144.000
4363.;LORNAMEAD, INC.;US;2022;144.000
4364.;SHANXI KNLAN CHEMICAL CO.,LTD;CN;2022;143.949
4365.;ASAHI KASEI ELECTRONICS MATERIALS (SUZHOU) CO., LTD.;CN;2016;143.820
4366.;FOSHAN GAOMING MINGHAI CHEMICAL ENTERPRISE CO., LTD.;CN;2014;143.809
4367.;LIAONING QINGYANG CHEMICAL INDUSTRY CORPORATION;CN;2020;143.788
4368.;INDO POLY (THAILAND) CO LTD;TH;2008;143.738
4369.;TRADE CORPORATION INTERNATIONAL SA;ES;2022;143.690
4370.;SINOPEC GROUP HUBEI BRANCH COMPANY;CN;2014;143.681
4371.;BILBAINA DE ALQUITRANES SOCIEDAD ANONIMA;ES;2022;143.627
4372.;YANTAI JULI FINE CHEMICAL CO., LTD.;CN;2021;143.518
4373.;RIZHAO YINGDE GAS CO.,LTD;CN;2017;143.470
4374.;YANLING DAMA NO.1 CHEMICAL FACTORY;CN;2014;143.466
4375.;TEE HAI CHEM PTE LTD;SG;2022;143.459
4376.;VISKO TEEPAK;BE;2022;143.427
4377.;LUOYANG SHIHUA SYNTHETIC FIBER CO., LTD.;CN;2020;143.423
4378.;CHONGQING MINFENG CHEMICAL CO., LTD.;CN;2020;143.416
4379.;GULSHAN POLYOLS LIMITED;IN;2022;143.311
4380.;SHANDONG SANFANG CHEMICAL GROUP CO., LTD.;CN;2021;143.276
4381.;SUN CHEMICAL SA;FR;2022;143.209
4382.;GUIZHOU ZUNYI ALKALI FACTORY;CN;2007;143.178
4383.;SHANDONG YUYUAN GROUP CO., LTD.  CHANGYI CHEMICAL PLANT;CN;2014;143.095
4384.;VICTORY OIL TIANTIANYUSHI CHEMICAL INDUSTRY CHENG CO.,LTD;CN;2014;143.041
4385.;ZHEJIANG YIDE CHEMICAL CO., LTD.;CN;2021;142.968
4386.;PANJIN HEYUN INDUSTRIAL GROUP CO., LTD.;CN;2015;142.948
4387.;CHANGZHOU XINDONG CHEMICAL INDUSTRY DEVELOPMENT CO., LTD.;CN;2021;142.899
4388.;SICHUAN QIAOYUAN GAS CO.,LTD.;CN;2023;142.868
4389.;CHTC HELON CO.,LTD.;CN;2023;142.731
4390.;4 ORANGES COMPANY LIMITED;VN;2022;142.695
4391.;JIANGSU AIJIN CROP SCIENCE AND TECHNOLOGY GROUP CO., LTD.;CN;2021;142.677
4392.;CIS BIO INTERNATIONAL;FR;2022;142.661
4393.;HUNAN CHANGSHENG PETROCHEMICAL CO., LTD;CN;2015;142.516
4394.;HUIERMING(FUJIAN) CHEMICAL INDUSTRY CO.,LTD;CN;2022;142.513
4395.;GUANGXI YESSTAR MEDICAL SYSTEMS CO., LTD.;CN;2019;142.459
4396.;HEBI BAOMA FERTILIZER FACTORY;CN;2014;142.324
4397.;AKZO NOBEL PAINTS (THAILAND) LTD;TH;2022;142.252
4398.;JIANGSU EVERGREEN NEW MATERIAL TECHNOLOGY INCORPORATED COMPANY;CN;2023;142.230
4399.;DISTILLERIE MAZZARI SPA;IT;2023;142.222
4400.;CID LINES;BE;2023;142.182
4401.;SICHUAN JINGUANG CHEMICAL INDUSTRY INCORPORATED CORPORATION;CN;2014;142.173
4402.;LAWTER EUROPE;BE;2022;142.122
4403.;SHENYANG PALMARY NEW MATERIAL CO., LTD.;CN;2022;142.015
4404.;SACHEM INC;US;2022;142.000
4405.;ZHEJIANG JOYA POLYMER TECHNOLOGY CO., LTD.;CN;2022;141.970
4406.;HUNAN YUANJIANG CHIFENG AGRICULTURAL CHEMICAL CO.,LTD;CN;2022;141.902
4407.;TAZZETTI S.P.A.;IT;2023;141.800
4408.;BOREALIS KALLO;BE;2022;141.774
4409.;CHONGQING LIHONG FINE CHEMICALS CO.,LTD.;CN;2022;141.722
4410.;BHILOSA INDUSTRIES PVT. LTD.;IN;2008;141.712
4411.;CHUNBO CO.,LTD.;KR;2023;141.692
4412.;KAIFENG EZHONG CHEMICAL CO., LTD.;CN;2014;141.682
4413.;FOSHAN MAYDOS CHEMICAL CO., LTD.;CN;2013;141.681
4414.;HUNAN LONGKE FERTILIZER INDUSTRY CO., LTD.;CN;2022;141.631
4415.;STE DU CAOUTCHOUC BUTYL;FR;2006;141.565
4416.;GREAT ORIENT CHEMICAL (TAICANG) CO., LTD.;CN;2020;141.479
4417.;SIPING HAOHUA CHEMICAL CO., LTD.;CN;2014;141.424
4418.;JINTUNG PETROCHEMICAL CORPORATION LTD.;CN;2021;141.398
4419.;ALTRO LIMITED;GB;2022;141.395
4420.;BASF PAPER CHEMICALS (JIANGSU) CO., LTD.;CN;2022;141.390
4421.;ZHEJIANG JUSHENG FLUOROCHEMICAL CO., LTD.;CN;2022;141.378
4422.;ANHIDRIDOS Y DERIVADOS DE COLOMBIA S A S;CO;2023;141.367
4423.;SANDTEX;GB;2023;141.361
4424.;SHANDONG PROVINCE LING TYRE MATERIAL CO.,LTD;CN;2013;141.345
4425.;GULANG XINMIAO FINE CHEMICAL CO., LTD;CN;2013;141.312
4426.;LINARES BIODIESEL TECHNOLOGY SLU;ES;2022;141.293
4427.;SICHUAN TIANHUA FUBANG CHEMICAL CO., LTD.;CN;2018;141.285
4428.;JINMEI JINSHI CHEMICAL INVESTMENT GROUP CO., LTD.;CN;2022;141.222
4429.;INNER MONGOLIA CHENHONGLI CHEMICAL GROUP CO., LTD.;CN;2022;141.210
4430.;HEBEI HUIERXIN MATERIALS CO.,LTD.;CN;2011;141.158
4431.;THORWORKS INDUSTRIES INC;US;2018;141.000
4432.;JIANGSU RONGCHANG CHEMICAL CO.,LTD.;CN;2013;140.987
4433.;TIANJIN JIATAI WEIYE CHEMICAL INDUSTRY CO., LTD.;CN;2022;140.923
4434.;ARAB FERTILISERS AND CHEMICALS INDUSTRIES LTD;JO;2021;140.845
4435.;SUMIKA POLYCARBONATE LIMITED;JP;2022;140.778
4436.;QINGYANG ZHANGQING JINGXIA OIL ASSISTANT CO., LTD. XIANYANG BRANCH;CN;2014;140.757
4437.;E&E ALGERIA TOUAT B.V.;NL;2022;140.735
4438.;MAX (RUDONG) CHEMICALS CO., LTD.;CN;2022;140.690
4439.;QUIMPAC DE COLOMBIA S A;CO;2023;140.665
4440.;CHANGLE SHUANGQIANG CHEMICAL INDUSTRY CO.,LTD;CN;2013;140.649
4441.;ZHEJIANG JIANGNAN POLYESTERIFICATLOIV CO.,LTD;CN;2013;140.644
4442.;TRUMPLER GMBH & CO. KG CHEMISCHE FABRIK;DE;2022;140.588
4443.;BRAHMAPUTRA VALLEY FERTILIZER CORPORATION LIMITED;IN;2022;140.561
4444.;YIXING YUCHENG CHEMICAL INDUSTRY CO.,LTD;CN;2010;140.518
4445.;KUNMING ZHONGHUA COATING CO.,LTD (CHENGGONG COUNTRY );CN;2010;140.518
4446.;JIAXING ZANYU TECHNOLOGY DEVELOPMENT CO.,LTD;CN;2022;140.485
4447.;FRITTA SLU;ES;2022;140.293
4448.;CHONGQING WANSHENG COAL CHEMICAL CO., LTD.;CN;2017;140.254
4449.;NIPPON STEEL CARBON CO.,LTD.;JP;2022;140.246
4450.;SHANDONG HEISONGTU AGRICULTURAL HIGH-TECH CO., LTD.;CN;2021;140.175
4451.;INTERNATIONAL PAINT KOREA LTD;KR;2023;140.093
4452.;GUANGXI MINGLI GROUP CO., LTD.;CN;2014;140.035
4453.;ZOBELE MEXICO;MX;2023;139.981
4454.;DAVEY BICKFORD;FR;2023;139.865
4455.;BOC GASES (SUZHOU) CO., LTD.;CN;2022;139.854
4456.;JIYUAN FENGTIAN FERTILIZERS CO., LTD.;CN;2021;139.836
4457.;JIANGXI YONGTAI CHEMICAL CO., LTD.;CN;2014;139.746
4458.;FIRMENICH UK LIMITED;GB;2022;139.671
4459.;AMORE COSMETICS (SHANGHAI) CO., LTD.;CN;2017;139.654
4460.;GENGSHENGYANLEI METALLURGY CO.,LTD;CN;2010;139.638
4461.;CHIFURE HOLDINGS CORPORATION.;JP;2022;139.616
4462.;NIITAKA CO LTD;JP;2023;139.515
4463.;PLUSS-STAUFER LIMITED;GB;2022;139.490
4464.;JINQIAO WILMAR CHLOR-ALKALI (LIANYUNGANG) CO., LTD.;CN;2022;139.418
4465.;CHONGQING ZIGUANG CHEMICAL INDUSTRY CO.,LTD;CN;2007;139.354
4466.;SHANDONG PROVINCE LIAOCHENGSHILUXI CHEMICAL INDUSTRY NO2 FERTILIZER CO.,LTD;CN;2010;139.317
4467.;XUANCHENG SIERTE FERTILIZER CO.,LTD;CN;2014;139.272
4468.;YICHANG TIANMEI INTERNATIONAL COSMETICS CO., LTD.;CN;2021;139.252
4469.;LONGMANG DADI AGRICULTURE CO., LTD.;CN;2019;139.247
4470.;ANHUI ZHONGTIE ENGINEERING MATERIAL TECHNOLOGY CO., LTD.;CN;2022;139.218
4471.;JIANGSU HANVO SAFETY PRODUCT CO., LTD.;CN;2023;139.201
4472.;LIUZHOU LIANGMIANZHEN CO.,LTD.;CN;2023;139.184
4473.;AB ENZYMES GMBH;DE;2022;139.180
4474.;HENAN NANXIANG CHEMICAL INDUSTRY CO.,LTD;CN;2014;139.134
4475.;JAPAN BUTYL CO.,LTD.;JP;2022;139.095
4476.;INTERCOS AMERICA, INC.;US;2022;139.000
4477.;HUNAN ZHENBANG FU COATING CO., LTD.;CN;2014;138.991
4478.;LONSEAL CORPORATION;JP;2023;138.982
4479.;GUIZHOU PROVINCE JIULIAN ENTERPRISE GROUP CO.,LTD;CN;2013;138.968
4480.;NISSIN CHEMICAL INDUSTRY CO.,LTD.;JP;2022;138.952
4481.;TROCELLEN GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG;DE;2022;138.935
4482.;INDORAMA VENTURES HYGIENE DENMARK A/S;DK;2022;138.776
4483.;DAXIN MATERIALS CORPORATION;TW;2023;138.738
4484.;SHUBHAM CHEMICALS AND SOLVENTS LIMITED;IN;2022;138.737
4485.;SHAOXING HUAMAO CHEMICAL FIBER CO., LTD.;CN;2022;138.659
4486.;HEBEI HUIERXIN NEW MATERIAL CO., LTD.;CN;2020;138.643
4487.;ZHONGRONG TECHNOLOGY CORPORATION LTD.;CN;2023;138.628
4488.;GADOT BELGIUM;BE;2022;138.625
4489.;YICHANG DONGSHENG PHOSPHATE AND COMPOUND FERTILIZER CO., LTD.;CN;2020;138.581
4490.;BRESFOR - INDUSTRIA DO FORMOL, S.A.;PT;2022;138.543
4491.;LIAOCHENG KABOTE CHEMICAL CO., LTD.;CN;2014;138.529
4492.;SHAOXING DONGTAI POLYMERIC MATERIALS CO., LTD.;CN;2022;138.478
4493.;SHANDONG LANDUN PETROLEUM RESIN CO., LTD.;CN;2014;138.400
4494.;AKCOAT ILERI KIMYASAL KAPLAMA MALZEMELERI SANAYI VE TICARET ANONIM SIRKETI;TR;2022;138.399
4495.;JIUJIANG HENGSHENG CHEMICAL FIBRE CO., LTD.;CN;2013;138.325
4496.;NU-GRO CORPORATION;CA;2003;138.318
4497.;SHANGHAI LIANJI SYNTHETIC FIBRE CO., LTD. (OBTAINED FROM SUBJECT);CN;2014;138.217
4498.;SHENYANG HAIZHONGHAISPECIAL ANTISEPSIS MATERIAL FACTORY;CN;2014;138.212
4499.;SHANGHAI CHEMSPEC CORPORATION;CN;2023;138.192
4500.;NALCO DEUTSCHLAND GMBH;DE;2005;138.182
4501.;KUKDO CHEMICAL (KUNSHAN) CO., LTD.;CN;2022;138.171
4502.;UENO CANON MATERIALS INC.;JP;2022;138.130
4503.;LIMITED LIABILITY COMPANY TOMET;RU;2022;138.108
4504.;BENXI LUBO CHEMICAL CO., LTD.;CN;2014;138.052
4505.;APEX INTERNATIONAL MANUFACTURING INC;US;2022;138.000
4506.;GARRATT-CALLAHAN COMPANY;US;2022;138.000
4507.;RIVERLAND INDUSTRIES, INC.;US;2022;138.000
4508.;POLIPLAST - S.P.A.;IT;2022;137.969
4509.;SHARMANJI YARNS PRIVATE LIMITED;IN;2022;137.936
4510.;JIANGSU SHIMEIKANG PHARMACEUTICAL CO., LTD.;CN;2014;137.915
4511.;GUANGDONG KOMO CO., LTD.;CN;2022;137.868
4512.;BOAI COUNTRY KAISENZHIHUA CO.,LTD;CN;2014;137.836
4513.;SHANDONG LIAOCHENG LUXI CHEMICAL FERTILIZER CO., LTD. 5TH;CN;2022;137.792
4514.;SAPONIA D.D.;HR;2023;137.750
4515.;HANGJURAKGEUM COSMETICS (YUHAN PUBLIC CORPORATION );KR;2006;137.713
4516.;MAPEI AS;NO;2022;137.710
4517.;OTKRYTOE AKTSIONERNOE OBSHCHESTVO SVETLOGORSKKHIMVOLOKNO;BY;2020;137.656
4518.;KAWAKEN FINE CHEMICALS CO., LTD.;JP;2021;137.647
4519.;HANGZHOU CHUANHUA CHEMICALS CO., LTD.;CN;2017;137.621
4520.;SICHUAN PROVINCE JIELIFU BIOLOGY TECHNOLOGY CO.,LTD;CN;2014;137.589
4521.;BOREALIS POLYMERE GMBH;DE;2022;137.566
4522.;SHANDONG YELEE PAINT CO., LTD.;CN;2014;137.376
4523.;JSC AKTYUBINSK CHROMIC COMPOUNDS PLANT;KZ;2022;137.370
4524.;XINXIANG ZHONGBANG MATERIAL CO.,LTD.;CN;2014;137.365
4525.;ZHEJIANG XINYONG BIOCHEMICAL CO.,LTD;CN;2021;137.342
4526.;KANSAI CATALYST CO.,LTD.;JP;2022;137.323
4527.;GUANGDONG ZHANHUA GROUP CO., LTD.;CN;2016;137.316
4528.;TAIZHOU ZHENGANG DYESTUFF CO., LTD.;CN;2022;137.313
4529.;NITTO KASEI CO.,LTD.;JP;2022;137.297
4530.;OZERSOYLAR DIS TICARET ANONIM SIRKETI;TR;2022;137.292
4531.;FICOSOTA;BG;2022;137.253
4532.;XINLE DONGYUAN JINHUA CO.,LTD;CN;2014;137.250
4533.;NINGXIA JINHUA CHEMICAL CO., LTD.;CN;2022;137.232
4534.;ZHEJIANG JINFANDA BIOCHEMICAL CO., LTD.;CN;2020;137.172
4535.;SOQUIMICH COMERCIAL S.A.;CL;2023;137.157
4536.;BIOMERIEUX DEUTSCHLAND GMBH;DE;2022;137.059
4537.;JIANGSU TAIFENG CHEMICAL CO., LTD.;CN;2020;137.022
4538.;ZOBELE HOLDING S.P.A.;IT;2023;137.011
4539.;SHAW POLYMERS HOLDINGS, LLC;US;2022;137.000
4540.;SHANDONG KAISHENG NEW MATERIALS CO.,LTD.;CN;2023;136.910
4541.;ZIBO YONGJIA CHEMICAL INDUSTRY CO.,LTD;CN;2014;136.906
4542.;ISHIHARA CHEMICAL CO.,LTD.;JP;2023;136.895
4543.;LIMITED LIABILITY COMPANY RECKITT BENCKISER;RU;2023;136.714
4544.;PROQUIGEL QUIMICA S/A;BR;2020;136.710
4545.;BAMBERGER POLYMERS (EUROPE) HOLDING B.V.;NL;2019;136.710
4546.;SHELL CATALYSTS & TECHNOLOGIES LEUNA GMBH;DE;2021;136.678
4547.;SUMITOMO CHEMICAL AGRO EUROPE SAS;FR;2022;136.556
4548.;HANCHENG BLACK CAT CARBON BLACK CO., LTD.;CN;2022;136.537
4549.;NINGBO SUNJOY AGROSCIENCE CO., LTD.;CN;2022;136.516
4550.;JIANGSU MINGYANG FIBER CO., LTD.;CN;2016;136.508
4551.;CONG TY CO PHAN PHAN BON VA HOA CHAT DAU KHI TAY NAM BO;VN;2023;136.490
4552.;FORESTAL DEL ATLANTICO SA;ES;2022;136.452
4553.;SICHUAN GUANGYAJUHEWU CHEMICAL INDUSTRY CO.,LTD;CN;2014;136.202
4554.;NIPPON PAINT (TIANJIN) CO., LTD.;CN;2020;136.141
4555.;CARPENTER ENGINEERED FOAMS GERMANY GMBH;DE;2021;136.075
4556.;GEMINI INVESTMENTS (HOLDINGS) LIMITED;HK;2023;136.070
4557.;SHIV TEXCHEM PRIVATE LIMITED;IN;2022;136.063
4558.;BEIJING YANSHAN JILIAN PETROCHEMICAL CO., LTD.;CN;2020;136.028
4559.;TOP SOLVENT (VIETNAM) LIMITED LIABILITY COMPANY;VN;2022;136.026
4560.;YVES SAINT LAURENT PARFUMS;FR;2022;136.022
4561.;DONGYING SHENGLI ZHONGYA CHEMICAL INDUSTRY CO., LTD.;CN;2014;136.009
4562.;CRODA SINGAPORE PTE LTD;SG;2022;136.005
4563.;LOUISIANA INTEGRATED POLYETHYLENE JV LLC;US;2022;136.000
4564.;JIANGXI WUGUAN INDUSTRY GROUP CO., LTD.;CN;2010;135.986
4565.;WUHAN GEHUA GROUP CO.,LTD.;CN;2007;135.970
4566.;FUSHUN QILONG CHEMICAL CO., LTD.;CN;2015;135.864
4567.;OMYA UK LIMITED;GB;2022;135.822
4568.;WILMAR FERTILIZER MALAYSIA SDN. BHD.;MY;2022;135.816
4569.;APCOTEX INDUSTRIES LIMITED;IN;2023;135.806
4570.;JIANGSU LONGLIQI BIOSCIENCE CO., LTD.;CN;2022;135.793
4571.;ALLESSAPRODUKTION GMBH;DE;2022;135.763
4572.;GELITA SWEDEN AKTIEBOLAG;SE;2022;135.719
4573.;JIANGYAN CITY CHEMICAL FERTILIZER CO.,LTD;CN;2014;135.653
4574.;JIANGSU HONGXIN CHEMICALS CO., LTD.;CN;2014;135.536
4575.;OTTO BAUMGART INDUSTRIA E COMERCIO S A;BR;2022;135.408
4576.;JACKON GMBH;DE;2022;135.402
4577.;JIANGSU BAOZONG & BAODA PHARMACHEM CO., LTD.;CN;2022;135.393
4578.;NEXIS FIBERS A.S.;SK;2022;135.367
4579.;WH BRADY;BE;2023;135.362
4580.;SHANDONG FULAICHUN BIOCHEMICAL INDUSTRY CO., LTD.;CN;2017;135.354
4581.;INNER MONGOLIA DONGYUE JINFENG FLUORINE CHEMICAL CO., LTD.;CN;2022;135.330
4582.;YUNNAN JIEHUA GROUP CO., LTD.;CN;2010;135.143
4583.;KAO CORPORATION SHANGHAI;CN;2022;135.113
4584.;JIANGXI LESHENG CHEMICAL CO., LTD.;CN;2014;135.075
4585.;MEIYUME (UK) LIMITED;GB;2022;135.053
4586.;BASF INTERTRADE CORPORATION;US;2020;135.000
4587.;COLUMBIA RIVER CARBONATES;US;2022;135.000
4588.;SHOUGUANG WEIDONG CHEMICAL CO., LTD.;CN;2022;134.987
4589.;NEVEON AUSTRIA GMBH;AT;2022;134.967
4590.;NATOCO CO LTD;JP;2023;134.922
4591.;EVONIK SPECIALTY CHEMICALS (NANJING) CO., LTD.;CN;2019;134.910
4592.;CABOT HIGH PERFORMANCE MATERIALS (TIANJIN) CO., LTD.;CN;2021;134.878
4593.;FUJIFILM WAKO CHEMICAL CORPORATION;JP;2022;134.852
4594.;MITSUI CHEMICALS SUN ALLOYS CO.,LTD.;JP;2022;134.852
4595.;REICHHOLD QUIMICA DE MEXICO;MX;2022;134.800
4596.;HUBEI PROVINCE JINGXIANG CHEMICAL INDUSTRY CO.,LTD;CN;2014;134.745
4597.;MERCK ELECTRONIC MATERIALS CO.,LTD;KR;2023;134.726
4598.;JIANGSU KUAIDA AGROCHEMICAL CO., LTD.;CN;2023;134.712
4599.;A SCHULMAN PLASTICS;BE;2023;134.693
4600.;NINGBO ZHUOCHENG CHEMICAL FIBRE CO., LTD.;CN;2022;134.687
4601.;COSL CHEMICALS (TIANJIN), LTD.;CN;2020;134.670
4602.;UNILEVER NIGERIA PLC;NG;2023;134.664
4603.;HENAN PROVINCE JUNHUAHONGFU INDUSTRY INCORPORATED CORPORATION;CN;2014;134.650
4604.;BISON INTERNATIONAL B.V.;NL;2022;134.505
4605.;MAKE UP FOR EVER;FR;2022;134.464
4606.;SICER S.P.A.;IT;2022;134.380
4607.;SPA EL SEWEDY CABLES ALGERIA;DZ;2018;134.344
4608.;HA HIGGINSON INDUSTRIAL RUBBER PRODUCTS CO., LTD.;CN;2014;134.334
4609.;LEIYANG JINPU CHEMICAL CO.,LTD;CN;2011;134.200
4610.;LIMITED LIABILITY COMPANY NPP NEFTEKHIMIA;RU;2023;134.197
4611.;AIR WATER CARBONIC INC.;JP;2022;134.102
4612.;DHANUKA LABORATORIES LIMITED;IN;2022;134.087
4613.;JIANGSU ZHONGDAN CHEMTECH CO., LTD.;CN;2022;134.053
4614.;HUNAN YIHUA CHEMICAL CO., LTD.;CN;2014;134.050
4615.;MOLIREN;RU;2021;134.011
4616.;MERLE NORMAN COSMETICS, INC.;US;2022;134.000
4617.;SPRAY PRODUCTS CORP;US;2022;134.000
4618.;SACI INDUSTRIE - SOCIETA' PER AZIONI;IT;2022;133.932
4619.;LEVACO CHEMICALS GMBH;DE;2022;133.921
4620.;EVERCOMPOUNDS S.P.A.;IT;2022;133.898
4621.;ANFU CHAOWEI COMMODITY CHEMICAL INDUSTRY CO., LTD.;CN;2022;133.803
4622.;CTR - CONSULTORIA, TECNICA E REPRESENTACOES, UNIPESSOAL, LDA;PT;2022;133.799
4623.;FORESA FRANCE;FR;2022;133.615
4624.;SHANXI TOND CHEMICAL CO.,LTD.;CN;2023;133.614
4625.;SHANDONG HAIHUA LVJIAN SHUZHI CO., LTD.;CN;2022;133.549
4626.;INSUMOS INTERNACIONALES G C;MX;2018;133.526
4627.;SHANDONG JIAN CHENICAL CO.,LTD;CN;2014;133.484
4628.;JIANGSU YUNFAN CHEMICAL CO., LTD.;CN;2022;133.454
4629.;GANSU LIUHUA (GROUP) CO., LTD.;CN;2019;133.430
4630.;FMC AGROQUIMICA DE MEXICO;MX;2018;133.397
4631.;CASTROL INDUSTRIE GMBH VC HAMBURG 215.0004419;DE;2003;133.372
4632.;FRANCISCO ARAGON SLU;ES;2022;133.364
4633.;ALSHARQIAH INTERNATIONAL TRADING COMPANY;SA;2021;133.333
4634.;BASATEEN FOODS SAUDI ARABIA SINGLE PERSON COMPANY LTD;SA;2023;133.333
4635.;ERUSLU TEKSTIL SANAYI VE TICARET ANONIM SIRKETI;TR;2022;133.322
4636.;CONG TY CO PHAN DAP - VINACHEM;VN;2023;133.287
4637.;KEIYOMONOMA KK;JP;2022;133.268
4638.;HANJIANG GROUP DANJIANGKOU ELECTROCHEMICAL CO., LTD.;CN;2022;133.260
4639.;DENGTA NORTH CHEMICAL CO.,LTD.;CN;2014;133.224
4640.;PT MANDOM INDONESIA TBK;ID;2023;133.215
4641.;SICHUAN PUSH ACETATI CO., LTD.;CN;2014;133.109
4642.;KLK TENSACHEM;BE;2023;133.105
4643.;SANKEMIKARU KK;JP;2022;133.091
4644.;DIC PERFORMANCE RESINS GMBH;AT;2022;133.016
4645.;COMPLEX CHEMICAL COMPANY, INC.;US;2022;133.000
4646.;CENTRAL PETROVIETNAM FERTILIZER AND CHEMICALS JOINT STOCK COMPANY;VN;2023;132.992
4647.;ALLNEX RESINS (SHANGHAI) CO., LTD.;CN;2022;132.982
4648.;EXCEL INDUSTRIES LIMITED;IN;2022;132.917
4649.;DARBOND TECHNOLOGY CO., LTD;CN;2022;132.912
4650.;GUIZHOU YIHUA CHEMICAL CO., LTD.;CN;2014;132.876
4651.;MESSER COLOMBIA S A;CO;2023;132.858
4652.;BIRLA CARBON BRASIL LTDA.;BR;2020;132.841
4653.;FUJIAN PROVINCE CHANGLESHIHUAWEI SYNTHETIC FIBER CO.,LTD;CN;2010;132.833
4654.;JEWIM PHARMACEUTICAL (SHANDONG) CO., LTD.;CN;2022;132.799
