;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
163.;TOTALENERGIES PETROCHEMICALS FRANCE;FR;2022;4.918.936
164.;PUBLIC JOINT STOCK COMPANY PHOSAGRO;RU;2023;4.917.141
165.;GUIZHOU KAILIN GROUP CO., LTD.;CN;2014;4.904.042
166.;KUMHO PETROCHEMICAL CO.,LTD.;KR;2023;4.903.465
167.;KCC CORPORATION;KR;2023;4.877.030
168.;WENGFU (GROUP) CO., LTD.;CN;2021;4.767.938
169.;UNIVEX;MX;2014;4.702.753
170.;TRANSFAR ZHILIAN CO.,LTD.;CN;2023;4.691.212
171.;XINJIANG TIANYE (GROUP) CO., LTD.;CN;2021;4.637.235
172.;SHANGHAI SECCO PETROCHEMICAL COMPANY LIMITED;CN;2021;4.636.062
173.;BASF CATALYSTS LLC;US;2005;4.597.016
174.;CARLISLE COMPANIES INC;US;2023;4.586.900
175.;ADAMA LTD;CN;2023;4.573.387
176.;CEPSA QUIMICA SA;ES;2022;4.550.735
177.;POTASH CORPORATION OF SASKATCHEWAN INC;CA;2017;4.547.000
178.;FUJIFILM CORPORATION;JP;2022;4.546.554
179.;HENAN YUGUANG GOLD & LEAD CO.,LTD.;CN;2023;4.501.913
180.;FMC CORP;US;2023;4.486.800
181.;ASTELLAS IRELAND CO., LIMITED;IE;2022;4.477.126
182.;MAPEI S.P.A.;IT;2022;4.421.616
183.;MITSUBISHI PETROCHEMICAL CO LTD;JP;1993;4.410.208
184.;JIANGXI NANNAN FIREWORKS MANUFACTURING CO., LTD.;CN;2014;4.404.852
185.;K+S AKTIENGESELLSCHAFT;DE;2023;4.387.846
186.;UNION CARBIDE CORP;US;2023;4.296.000
187.;BUCHER INDUSTRIES AG;CH;2023;4.282.959
188.;ASIAN PAINTS LIMITED;IN;2023;4.257.955
189.;ADAMA AGRICULTURAL SOLUTIONS LIMITED;IL;2023;4.230.474
190.;YEOCHUN NCC CO.,LTD;KR;2023;4.214.955
191.;DOW DEUTSCHLAND ANLAGENGESELLSCHAFT MBH;DE;2022;4.200.836
192.;VALSPAR CORP;US;2016;4.190.552
193.;AUSTRALIAN VINYLS CORPORATION PTY LTD;AU;2012;4.132.450
194.;GALDERMA GROUP AG;CH;2023;4.116.500
195.;EQUATE PETROCHEMICALS COMPANY KSCC;KW;2022;4.042.000
196.;YUNNAN YUNTIANHUA INTERNATIONAL CHEMICAL CO., LTD.;CN;2014;4.034.001
197.;YISHENG DAHUA PETROCHEMICAL CO., LTD.;CN;2022;3.972.024
198.;FUFENG GROUP LIMITED;KY;2023;3.962.385
199.;WILBUR-ELLIS COMPANY;US;2022;3.943.000
200.;CABOT CORP;US;2023;3.931.000
201.;SULZER AG;CH;2023;3.926.909
202.;KOLON INDUSTRIES, INC.;KR;2023;3.925.204
203.;MITSUBISHI RAYON CO LTD;JP;2009;3.914.713
204.;INCITEC PIVOT LIMITED;AU;2023;3.910.706
205.;HUBEI XINGFA CHEMICALS GROUP CO.,LTD.;CN;2023;3.898.563
206.;SA SOCIETE BENINOISE DE PEINTURES ET COLORANTS;BJ;2023;3.893.359
207.;DAELIM INDUSTRIAL CO., LTD.;KR;2023;3.891.590
208.;MEIHUA HOLDINGS GROUP CO.,LTD;CN;2023;3.886.903
209.;NESTE SINGAPORE PTE. LTD.;SG;2022;3.868.601
210.;PROCTER & GAMBLE (GUANGZHOU) LTD.;CN;2022;3.823.690
211.;SHANDONG HUALU-HENGSHENG CHEMICAL CO.,LTD;CN;2023;3.790.786
212.;NICHIA CORPORATION;JP;2022;3.785.247
213.;ZIBO QIXIANG TENGDA CHEMICAL CO., LTD.;CN;2023;3.765.506
214.;KEMIRA OYJ;FI;2023;3.748.493
215.;LB GROUP CO. LTD.;CN;2023;3.731.369
216.;JIANGXI JOVO ENERGY CO.,LTD.;CN;2023;3.724.559
217.;METHANEX CORPORATION;CA;2023;3.723.475
218.;KANSAI PAINT CO LTD;JP;2023;3.717.534
219.;FUSHUN BRANCH OF HENAN TIANDI BUILDING WATERPROOF ENGINEERING CO., LTD.;CN;2019;3.706.878
220.;HOSHINE SILICON INDUSTRY CO., LTD.;CN;2023;3.700.618
221.;COVESTRO POLYMERS (CHINA) COMPANY LIMITED;CN;2022;3.695.797
222.;HUAFON CHEMICAL CO., LTD.;CN;2023;3.694.613
223.;DAICEL CORPORATION;JP;2023;3.689.626
224.;TRINSEO PLC;IE;2023;3.675.500
225.;SINOMA SCIENCE & TECHNOLOGY CO.,LTD.;CN;2023;3.658.143
226.;ZHONGSHAN AIDILI COATING CHEMICAL CO., LTD.;CN;2020;3.621.174
227.;ARKEMA FRANCE;FR;2023;3.597.219
228.;BASF-YPC COMPANY LIMITED;CN;2022;3.589.396
229.;GONG YI CITY DING DONG WATER FIITER FACTORY;CN;2018;3.585.139
230.;VERSALIS S.P.A.;IT;2023;3.575.084
231.;SCOTTS MIRACLE-GRO COMPANY (THE);US;2023;3.551.300
232.;LUXI CHEMICAL GROUP CO.,LTD.;CN;2023;3.544.397
233.;HUIZHOU LIANCHENG PLASTIC NEW MATERIALS CO., LTD.;CN;2020;3.521.475
234.;H.B. FULLER COMPANY;US;2023;3.510.934
235.;SINOPEC & SABIC TIANJIN PETROCHEMICAL COMPANY LTD.;CN;2022;3.477.489
236.;INDIAN FARMERS FERTILISER COOPERATIVE LIMITED;IN;2016;3.456.054
237.;CHANG CHUN PETROCHEMICAL CO., LTD.;TW;2023;3.440.333
238.;UAP HOLDINGS CORP.;US;2007;3.411.416
239.;KHARK PETROCHEMICAL COMPANY PUBLIC JOINT STOCK;IR;2023;3.392.740
240.;HEXION HOLDINGS LLC;US;2022;3.374.000
241.;ARLANXEO NETHERLANDS B.V.;NL;2020;3.346.000
242.;BORSODCHEM ZARTKORUEN MUKODO RESZVENYTARSASAG;HU;2022;3.336.672
243.;CHINA XLX FERTILISER LIMITED;SG;2023;3.323.220
244.;GREEN PLAINS INC.;US;2023;3.295.743
245.;LYONDELL CHEMIE NEDERLAND B.V.;NL;2022;3.293.827
246.;FORMOSA CHEMICALS INDUSTRIES (NINGBO) LIMITED COMPANY;CN;2022;3.290.502
